Date,Carbon,TCI
27-04-2016,134.53,24.6986896243862
28-04-2016,124.7,24.9941497269349
29-04-2016,121.55,24.0723476507909
02-05-2016,120.18,22.8679145210385
03-05-2016,117.82,23.7204238966465
04-05-2016,120.57,26.4644803970404
05-05-2016,121.95,25.5725007695317
06-05-2016,115.26,25.794324490254
09-05-2016,112.11,25.5326929295174
10-05-2016,116.05,25.3365004152773
11-05-2016,118.41,24.7914460906101
12-05-2016,114.28,24.2778639230347
13-05-2016,115.06,23.7530568655379
16-05-2016,120.18,23.6095502564547
17-05-2016,119,23.5607590745551
18-05-2016,119.19,23.3334152054944
19-05-2016,118.01,23.0191263977978
20-05-2016,117.42,23.1661383751442
23-05-2016,112.9,23.643984960579
24-05-2016,114.08,23.2276902467486
25-05-2016,115.46,22.955895676327
26-05-2016,118.6,23.0297244546737
27-05-2016,118.8,22.808214234385
31-05-2016,119.98,22.4547746040246
01-06-2016,117.42,21.2692533289348
02-06-2016,118.6,20.8143133437531
03-06-2016,117.03,20.6295303389329
06-06-2016,122.14,19.8126685655703
07-06-2016,120.37,21.0848254921199
08-06-2016,120.18,19.7869938313906
09-06-2016,120.37,19.6200428936805
10-06-2016,117.23,20.6552426501358
13-06-2016,115.26,23.1612016354417
14-06-2016,115.26,23.3728885274266
15-06-2016,116.24,23.8401513271367
16-06-2016,112.31,23.5932103851219
17-06-2016,111.52,23.2608526058431
20-06-2016,115.26,22.6700978370974
21-06-2016,109.36,23.3404392288199
22-06-2016,111.91,23.1580020137967
23-06-2016,111.13,22.6174716251694
24-06-2016,97.56,23.0482400333983
27-06-2016,93.82,27.9118797377839
28-06-2016,92.25,28.7083857722637
29-06-2016,88.9,30.2919421550567
30-06-2016,87.92,31.6257316119606
01-07-2016,90.87,30.5397009079234
05-07-2016,92.64,30.2996595437477
06-07-2016,90.28,30.5939907637045
07-07-2016,90.08,30.1223385677749
08-07-2016,89.49,29.6812958048869
11-07-2016,87.13,29.7569771880836
12-07-2016,91.07,29.5034943295161
13-07-2016,94.21,29.2016302217929
14-07-2016,94.02,28.5919870353928
15-07-2016,96.97,28.4598683494633
18-07-2016,95.39,27.4565889491835
19-07-2016,91.85,26.8400353209002
20-07-2016,92.25,26.8294742664441
21-07-2016,91.66,26.8590746518582
22-07-2016,89.89,26.8078521335903
25-07-2016,90.48,26.6015714612476
26-07-2016,88.9,26.4688647781451
27-07-2016,89.3,26.3905962035556
28-07-2016,88.31,26.0519065174341
29-07-2016,87.13,24.9693316861001
01-08-2016,86.15,24.603467947937
02-08-2016,86.94,24.5613708720597
03-08-2016,91.26,24.9677108265478
04-08-2016,92.44,24.4069082437304
05-08-2016,93.03,24.2090067069778
08-08-2016,97.36,23.9952883734067
09-08-2016,95.98,23.8839899231502
10-08-2016,93.82,22.8389241238874
